20:10:33.695 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 6788 ms. Buffer size: 10
20:10:33.696 [Thread-7] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 10 items.
20:10:33.696 [Thread-3] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 11 items.
20:10:33.696 [Thread-8] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 12 items.
20:10:33.696 [Thread-6] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 12 items.
20:10:33.696 [Thread-5] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 13 items.
20:10:33.704 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 4425 ms. Buffer size: 11
20:10:33.705 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 8054 ms. Buffer size: 11
20:10:33.712 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 1783 ms. Buffer size: 8
20:10:33.713 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 8424 ms. Buffer size: 8
20:10:33.713 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 4819 ms. Buffer size: 8
20:10:33.713 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 5202 ms. Buffer size: 8
20:10:33.713 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 3567 ms. Buffer size: 8
20:10:33.713 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 7737 ms. Buffer size: 8
20:10:33.713 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 5439 ms. Buffer size: 8
20:10:33.719 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 3167 ms. Buffer size: 8
20:10:33.719 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 8148 ms. Buffer size: 8
20:10:33.719 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 7587 ms. Buffer size: 8
20:10:36.626 [Thread-1] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 9 items.
20:10:36.628 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 3990 ms. Buffer size: 9
20:10:36.687 [Thread-4] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 10 items.
20:10:36.687 [Thread-2] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 11 items.
20:10:36.689 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 3643 ms. Buffer size: 11
20:10:36.696 [Thread-3] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 11 items.
20:10:36.696 [Thread-7] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 12 items.
20:10:36.699 [Thread-8] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 12 items.
20:10:36.703 [Thread-6] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 11 items.
20:10:36.703 [Thread-5] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 12 items.
20:10:36.704 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 6788 ms. Buffer size: 12
20:10:36.716 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 4425 ms. Buffer size: 12
20:10:36.716 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 1783 ms. Buffer size: 12
20:10:36.716 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 8054 ms. Buffer size: 12
